Doctor Name,Specialization,Doctor Info,Hospital/Chamber,Address,Appointment Days ,Fees,
Dr. Nabiul Hassan Rana,"Nephrology (Kidney, Ureter, Urinary Bladder)","Senior Consultant & Coordinator, Dept. of Nephrology, Apollo Hospitals Dhaka. MBBS, MD (Nephrology). Passed MBBS from Dhaka Medical College in 1985. Extensive experience at home and abroad.",Apollo Hospitals Dhaka,"Plot # 81, Block # E, Bashundhara, Dhaka",N/A,(Varies - Contact for appointment),(Not Specified)
Assoc. Prof. Dr. Masud Iqbal,"Nephrology (Kidney, Ureter, Urinary Bladder)","Associate Professor and Head, Dept. of Nephrology, Sir Salimullah Medical College & Hospital. MBBS, MD (Nephrology). Kidney, Ureter, Urinary Bladder Expertise. Previous work in National Institute of Kidney Diseases & Urology.",Medinova Medical Services Ltd. (Malibagh),"Hosaf Tower, 6/9 Outer Circular Road, Malibagh More, Malibagh, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 800 TK.
Asst. Prof. Dr. Md. Rashedul Islam,"Neuromedicine (Brain, Spinal Cord, Nerve)","Assistant Professor, Dept. of Neurology, BIRDEM. MBBS, FCPS (Medicine, Gold Medalist), MRCP (UK), FACP(USA). Neurologist. Internal Medicine, Neurology & Diabetes specialist. Member of multiple international societies.","Popular Diagnostic Center Ltd., Shyamoli Br.","H# (22/7)29, Blk# B, Bir Uttam A.N.M Nuruzzaman Sorak (Babor Road), (Room#304), Shyamoli, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 600 TK.
Dr. Shyamal Sarkar,Paediatrics (Child or Infant any disease),"Child Neurology Department. MBBS, BCS (Health), FCPS (Child). Child Neurology Department.","Selina General Hospital & Diagnostic Center (Pvt.) Ltd., Main Br.","Almas Tower, 282/1, 1st Colony, Mazar Road, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Samsun Nahar Sumi,Paediatrics (Child or Infant any disease),"Consultant, Dept. of Paediatrics Neurology, National Institute Of Neurosciences & Hospital. MBBS, FCPS. Fellowship Training in Paediatric Neurology.","Labaid Diagnostic Center Ltd., Mirpur Branch","Plot # 9, Block- B, Section # 1, Mirpur 11, Pallabi branch, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",New: 500 TK. Returning: 400 TK
Assoc. Prof. Dr. Konol Shaha,"Neuromedicine (Brain, Spinal Cord, Nerve)","Associate Professor, Dept. of Neurology, Dhaka Medical College Hospital. MBBS, BCS (Health), MD (Neurology). Specialist in Neuromedicine.","Badhon Hospital, Main Branch","216/44, Babul Mansion (1st Floor), Mitford, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Assoc. Prof. Dr. Konol Shaha,"Neuromedicine (Brain, Spinal Cord, Nerve)","Associate Professor, Dept. of Neurology, Dhaka Medical College Hospital. MBBS, BCS (Health), MD (Neurology). Specialist in Neuromedicine.","Doctors Clinic & Hospital (Dhaka), Main Branch","35, Mitford, Dhaka",N/A,(Not Specified),New Patient: 600 TK.
Assoc. Prof. Dr. Konol Shaha,"Neuromedicine (Brain, Spinal Cord, Nerve)","Associate Professor, Dept. of Neurology, Dhaka Medical College Hospital. MBBS, BCS (Health), MD (Neurology). Specialist in Neuromedicine.",Medinova Medical Services Ltd. (Narayanganj),"Zakir Super Market, 145 Banga Bandhu Road, Chashara, Narayanganj",N/A,(Not Specified),New Patient: 500 TK.
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.",Padma General Hospital Ltd,"Kathalbagan, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 1000 TK.
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.",Japan Bangladesh Friendship Hospital,"55, Satmasjid Road (Zigatola Bus Stand), Dhanmondi, Dhaka",N/A,(Not Specified),New Patient: 1000 TK.
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.","Medinova Medical Services Ltd. (Dhanmondi), Main Br.","House # 71/A, Road # 5/A, Dhanmondi, Dhaka",N/A,(Not Specified),New Patient: 1000 TK.
Assoc. Prof. Dr. Florida Rahman,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept.of Reproductive endocrinology & Infertility, DMCH. MBBS (SSMC), DGO (BSMMU), FCPS, MS (BIRDEM-Dhaka University). Gynae & Obs. specialist for 15+ years. Laparoscopic surgeon, infertility and reproductive endocrinology specialist.","Health and Hope Hospital, Main Branch","152/1/H Green Road, Panthapath, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 1000 TK.
Assoc. Prof. Dr. Florida Rahman,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept.of Reproductive endocrinology & Infertility, DMCH. MBBS (SSMC), DGO (BSMMU), FCPS, MS (BIRDEM-Dhaka University). Gynae & Obs. specialist for 15+ years. Laparoscopic surgeon, infertility and reproductive endocrinology specialist.",Al-Baraka Diagnostic Center,"Saheed Faruk Road, Jatrabari, Dhaka",N/A,(Not Specified),New: 1000 TK. Returning: 800 TK.
Assoc. Prof. Dr. Hazera Khatun,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Shaheed Suhrawardy Medical College Hospital. MBBS, MCPS, MS (Gynee & Obs). Pregnancy, Menstrual, Uterus Specialist.",Al - Shafi Hospital,"House # 9, Road # 6, Sector- 10/A, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",New: 800 TK. Returning: 400 TK. Follow-up: 100 TK.
Dr. Rabeya Sultana (Jolly),"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gynae & Obs, Sir Salimullah Medical College Mitford Hospital. MBBS (DU), MCPS, FCPS (Gynae & Obs). Specialist Gynae & Obs. BCS (Health).","Dhaka Paediatric - Neonatal & General Hospital Ltd., Main Branch","House # 4/4-A, Block- E, (Near 'Lalmatia Women's College'), Lalmatia, Dhaka",N/A,"Thu, Fri, Sat",New: 500 TK. Returning: 300 TK. Follow-up: 200 TK.
Dr. Rahat Afza Chowdhury,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gynae & Obs, BRB Hospital. MBBS, FCPS (Gynae & Obs). Practicing in pregnancy, menstrual, uterus diseases. Former Assistant professor, Ad-Deen Hospital, Dhaka.","Dhaka Paediatric - Neonatal & General Hospital Ltd., Main Branch","House # 4/4-A, Block- E, (Near 'Lalmatia Women's College'), Lalmatia, Dhaka",N/A,(Availability on request),(Not Specified)
Dr. Rahat Afza Chowdhury,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gynae & Obs, BRB Hospital. MBBS, FCPS (Gynae & Obs). Practicing in pregnancy, menstrual, uterus diseases. Former Assistant professor, Ad-Deen Hospital, Dhaka.","BRB Hospitals Ltd, Main Br.","77/A, East Rajabazar, (BRB Hospital, Room No: 305), East Razabazar, Panthapath, Dhaka",N/A,(Not Specified),New Patient: 800 TK.
Dr. Md. Abdul Matin,"Ophthalmology (Eye, Vision, Cataracts, etc.)","Consultant, Dept. of Ophthalmology, Optics World & Eye Care Center. MBBS D.O (D U). Eye Specialist & Surgeon (IOL & Micro Surgery). Specialist in treating headache & eye ache (Migraine). Over 15,000 patients treated.",Optics World & Eye Care Center,"KH- 1/C, Joynal Complex (South of Jamuna Future Park), Bashundhara, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Shamol Kumar Sarkar,"Ophthalmology (Eye, Vision, Cataracts, etc.)","Resident Surgeon. MBBS (Dhaka), MS (EYE), BSMMU. Resident Surgeon.","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Assoc. Prof. Dr. Khandoker Ziaul Islam (Zia),"Ophthalmology (Eye, Vision, Cataracts, etc.)","Associate Professor, Dept. of Eye Surgeon, BSMMU. MBBS, DO, MS (Ophth). Eye Surgeon and Glaucoma, Phaco & Vitreo Retina Surgery Specialist. Fellow in Glaucoma & Vitreo-Retina (LVPEI, India).","Bandura Eye Hospital Ltd., Main Br.","Bandura Bazar, Hasnabad, Nawabganj, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Assoc. Prof. Dr. Md. Mahabubar Rahman,"Ophthalmology (Eye, Vision, Cataracts, etc.)","Associate Professor, Eye Specialist surgeon, Lions Eye Institute & Hospital. MBBS (Dhaka), DO (DU), MPH (Ophth). Expert in SICS and Phaco surgery with IOL implantation. Extensive experience in national and international hospitals. Published author.","Bandura Eye Hospital Ltd., Main Br.","Bandura Bazar, Hasnabad, Nawabganj, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Prof. Dr. Md. Shahabuddin,"Ophthalmology (Eye, Vision, Cataracts, etc.)","Professor, Dept. of Ophthalmology, National Institute of Ophthalmology. MBBS, (DO) Eye, MS ( Eye). Contact Lens, Glaucoma and All Kind of Eye surgery Specialist. President at Ophthalmology Society of Bangladesh. Chief Consultant Dhaka Progressive Lions Eye Hospital.","Bandura Eye Hospital Ltd., Main Br.","Bandura Bazar, Hasnabad, Nawabganj, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Abde Walid Al Waly,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Oral & Dental Surgeon, Dept. of Dentistry, City Dental College. BDS. Practicing in dental, orthodontics, maxillofacial surgery, scaling.",Advanced Dental Care,"14/5, Block- D, Salimullah Road, Mohammadpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Md. Fahad Bin Alam,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)",Consultant Oral & Dental Surgeon. BDS. Oral and Maxillofacial Surgery.,Friends Dental Clinic,"11/7, Block- D, Salimullah Road, Mohammadpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Rashed Bin Yasin,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Lecturer, Dept. of Oral & Maxillofacial Surgery, University of Dental College & Hospital. BDS. Oral and Maxillofacial Surgery.",Friends Dental Clinic,"11/7, Block -D, Salimullah Road, Mohammadpur, Dhaka",N/A,"Thu, Fri, Sat",New: 200 TK. Returning: 200 TK.
Prof. Dr. Nasir Uddin,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Professor and Head, Dept Of. Oral and Maxillofacial Surgery, Shaheed Sharawardy Medical college and Hospital. BDS, FCPS (OMS). Specialist in Orthodontics, Dental, Maxillofacial Surgery, Scaling. Extensive expertise in complex procedures. Trained in Canada and Japan.",Avenue Dental Care,"4/4 Block- D, Lalmatia, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 1000 TK.
Prof. Dr. Nasir Uddin,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Professor and Head, Dept Of. Oral and Maxillofacial Surgery, Shaheed Sharawardy Medical college and Hospital. BDS, FCPS (OMS). Specialist in Orthodontics, Dental, Maxillofacial Surgery, Scaling. Extensive expertise in complex procedures. Trained in Canada and Japan.","Dental Maxillofacial Surgery Dental Implant, City Hospital Pvt. Ltd.","1/8 Block-E, Lalmatia, Dhaka",N/A,(Not Specified),New Patient: 1000 TK.
Prof. Dr. Nasir Uddin,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Professor and Head, Dept Of. Oral and Maxillofacial Surgery, Shaheed Sharawardy Medical college and Hospital. BDS, FCPS (OMS). Specialist in Orthodontics, Dental, Maxillofacial Surgery, Scaling. Extensive expertise in complex procedures. Trained in Canada and Japan.",Bangladesh ENT Hospital Ltd.,"4/1/A, Mirpur Road, Sobhanbag, Dhaka",N/A,(Not Specified),New Patient: 1200 TK.
Prof. Dr. Quazi Billur Rahman,"Dentistry (Dental, Orthodontics, Maxillofacial Surgery, Scaling)","Professor & Chairman, Dept. of Oral and Maxillofacial Surgery, Bangabandhu Sheikh Mujib Medical University. MBBS, MD (Stomatology), Ph.D (Oral & Maxillofacial Surgery). Specialist in Oral and Maxillofacial Surgery.","Health and Hope Hospital, Main Branch","152/1/H Green Road, Panthapath, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 1000 TK.
Prof. Dr. M. S. Kabir Jewel,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Professor (CC) & Unit Head, Dept. of Psychiatry, Sir Salimullah Medical College & Mitford Hospital. MBBS, M.Phil (Neuropsychiatry), MD (Psychiatry). Specialist in Mental Health, Drug Abuse, Depression & Child Psychiatry. Fellowship from Japan. Worked in Saudi Arabia.",Ibn Sina Diagnostic Center,"House-52, Garib-e-Newaz Avenue, Sector-13, Uttara, Dhaka",N/A,"Thu, Fri, Sat",New: 700 TK. Returning: 500 TK.
Prof. Dr. M. S. Kabir Jewel,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Professor (CC) & Unit Head, Dept. of Psychiatry, Sir Salimullah Medical College & Mitford Hospital. MBBS, M.Phil (Neuropsychiatry), MD (Psychiatry). Specialist in Mental Health, Drug Abuse, Depression & Child Psychiatry. Fellowship from Japan. Worked in Saudi Arabia.","Beacon Point, Drug Addiction & Mental Clinic","H#4, R#23A, Gulshan 1, Dhaka",N/A,(Not Specified),New Patient: 1000 TK.
Prof. Dr. M. S. Kabir Jewel,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Professor (CC) & Unit Head, Dept. of Psychiatry, Sir Salimullah Medical College & Mitford Hospital. MBBS, M.Phil (Neuropsychiatry), MD (Psychiatry). Specialist in Mental Health, Drug Abuse, Depression & Child Psychiatry. Fellowship from Japan. Worked in Saudi Arabia.",Panacea,"House - 107, 2nd Floor, Road-04, Block - B, Banani, Dhaka",N/A,(Not Specified),New Patient: 700 TK.
Dr. MD. Khairul Islam,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Consultant. MBBS, MCPS. Consultant.","Savar Prime Hospital, Main Branch","A-89, Thana Road, Savar, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Assoc. Prof. Dr. M. M. Jalal Uddin,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Associate Professor, Department of Psychiatry, National Institute of Neuro-Sciences Hospital. MBBS, FCPS. Specialist In Mental Health, Drug Abuse, Depression, etc.","Lab Zone (Pvt.) Ltd., Main Branch","A-30/8, Mazidpur, Aricha Road, Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 600 TK.
Prof. Dr. Md. Shabbir Rahman,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Professor & Head, Dept. of Psychiatry, Sir Salimullah Medical College & Mitford Hospital, Dhaka. MBBS, DPM (DU). Specialist in Mental Health, Child Psychiatry & Mental Sex Problems.","Lab Science Diagnostics Ltd., Main Branch","153/1, Green Road, Dhaka",N/A,(Availability on request),New Patient: 800 TK.
Asst. Prof. Dr. Niaz Mohammad Khan,"Psychiatry (Mental Health, Drug Abuse, Depression, etc.)","Assistant Professor, Shahid Sharwordi Medical College & Hospital. MCPS, FCPS. Psychiatrist Specialist.",Niramoy Hospital,"27/1-B, Shyamoli, Dhaka",N/A,"Thu, Fri, Sat",New: 700 TK. Returning: 500 TK. Follow-up: 300 TK.
Dr. Md. Mojammel Haque (Babu),"Orthopaedics (Bone, Joint, Fractures)","Consultant, Dept. of Orthopedic Surgery, National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR). MBBS, D-Ortho. PGT, Specialist In Fractures Bone, Joint Related & Surgeon.","Safe Aid General Hospital and Diagnostic Center Ltd., Main Branch","Sanir Akhra Bazar, Jatrabari, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 400 TK.
Dr. Md. Mojammel Haque (Babu),"Orthopaedics (Bone, Joint, Fractures)","Consultant, Dept. of Orthopedic Surgery, National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR). MBBS, D-Ortho. PGT, Specialist In Fractures Bone, Joint Related & Surgeon.","Desh Bangla Hospital & Diagnostic Center, Main Branch","450/456 Noya Para, Donia, Shonir Akhra, Dhaka",N/A,(Not Specified),New Patient: 400 TK.
Assoc. Prof. Dr. M. H. Tofayel (Biplob),"Orthopaedics (Bone, Joint, Fractures)","Associate Professor, National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR). MBBS, MS. Specialist In Fractures, Bone & Joint Related.","Lab Zone (Pvt.) Ltd., Main Branch","A-30/8, Mazidpur, Aricha Road, Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 600 TK.
Dr. Kanij Afrin,General Physician (All or any common diseases and health issues),"Consultant, DPRC Specilized Hospital and Rehabilitation Center. MBBS, DMU, PGT (Gynae & Obs). General physician & Ultrasound Specialist.","DPRC Specilized Hospital and Rehabilitation Center, Main Branch","12/1, Ring Road, Opposite to Somobai Market, Mohammadpur, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 300 TK.
Dr. Md. Nadim Kamal,"Physical Medicine (Paralysis, Pain Management)","Consultant, Dept. of Physical Medicine & Rehabilitation, Bangabandhu Sheikh Mujib Medical University. MBBS, FCPS (Physical Medicine and rehabilitation). Specialist in Physiatrist and Musculoskeletal Pain Management. International fellowships in pain management and rehabilitation.",Medinova Medical Services Ltd. (Malibagh),"Hosaf Tower, 6/9 Outer Circular Road, Malibagh More, 3rd Floor, Malibagh, Dhaka",N/A,"Thu, Fri, Sat",New: 500 TK. Returning: 300 TK. Follow-up: 200 TK.
Dr. Moshiur Rahman Selim,"Rheumatology (Arthritis, Joint, Soft Tissue problems)","Consultant, Dept. of Rheumatology, Afnan Hospital & Diagnostic Center Ltd. Savar. MBBS. Medicine & Arthritis, Joint, Soft Tissue problems Specialist, PGT (Medicine).","Afnan Hospital & Diagnostic Center Ltd., Main Branch","Rajfulbaria Bus stand, Savar, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. A. K. M. Mejbahuddin (Tipu),"Rheumatology (Arthritis, Joint, Soft Tissue problems)","Consultant, Dept. of Rheumatology, Dohar General Hospital (Pvt.) Ltd. MBBS. Specialist in Arthritis & Joint Soft Tissue Problems.","Dohar General Hospital (Pvt.) Ltd., Main Branch","Joypara, Dohar, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Md. Shahidullah,"Rheumatology (Arthritis, Joint, Soft Tissue problems)","Medical Officer, Dept. of Rheumatology, Bangabandhu Sheikh Mujib Medical University. MBBS. Practicing in Rheumatology & Medicine (All Diseases of Adults). PGT (Medicine & Rheumatology).","Medicare Diagnostic & Hospital Kamrangirchar Diabetic Center, Main Branch","Khalifaghat Chowrasta (Chan Masjid Rd), Kamrangirchar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Lt. Col. Dr. Md. Abdur Razzak,"Rheumatology (Arthritis, Joint, Soft Tissue problems)","Consultant, Dept. of Rheumatology, BDR Hospital, Pilkhana. MBBS, MCPS, FCPS. Specialist in Rheumatology (Arthritis, Joint, Soft Tissue Problem).",Medinova Medical Services Ltd.,"House # 71/A, Road # 5/A, Dhanmondi, Dhaka",N/A,(Appointments not available online),(Not Specified)
Asst. Prof. Dr. A . R Chowdhury,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Former Assistant Professor (Dermatology), Govt. Medical Colleges, Bangladesh. MBBS (Dhaka), DDV (BSMMU), MAMS (Vienna). Specialist in Skin Diseases & Aesthetic Medicine. Higher training in Aesthetic Medicine (China & Singapore).","Popular Diagnostic Center Ltd., Uttara Branch (Unit 2)","H# 25, R# 7, Sector-4, Uttara, Dhaka",N/A,"Thu, Fri, Sat",New: 1000 TK. Returning: 500 TK. Follow-up: 500 TK.
Asst. Prof. Dr. A . R Chowdhury,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Former Assistant Professor (Dermatology), Govt. Medical Colleges, Bangladesh. MBBS (Dhaka), DDV (BSMMU), MAMS (Vienna). Specialist in Skin Diseases & Aesthetic Medicine. Higher training in Aesthetic Medicine (China & Singapore).",Dr. A. R. Chowdhury. Sultan Market,"1st Floor, Sultan Market, Tongi Bazar Bus Stand, Mymensingh Hwy, Tongi, Dhaka",N/A,(Not Specified),New: 1000 TK. Returning: 800 TK. Follow-up: 500 TK.
Dr. Tahmina Sultana (Shimul),"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Skin, Allergy & VD Specialist, Dhaka Medical College & Hospital. MBBS, DDV (BSMMU), FCPS (Skin & VD). Skin, Allergy, & VD Specialist. BCS (Health), MCPS.","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 600 TK.
Asst. Prof. Dr. Umme Habiba (Sumi),"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Assistant Professor, Dept. of Dermatology, Bangladesh Institute of Dermatology. MBBS, DDV. Dermatology Specialist.","Savar Prime Hospital, Main Branch","A-89, Thana Road, Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Asst. Prof. Dr. Umme Habiba (Sumi),"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Assistant Professor, Dept. of Dermatology, Bangladesh Institute of Dermatology. MBBS, DDV. Dermatology Specialist.",Sumi's Hair & Skin Care Centre,"13. MM Islam Plaza, 3rd Floor, Opposite To Mirpur New Market, Mirpur, Dhaka",N/A,(Not Specified),New: 500 TK. Returning: 400 TK.
Assoc. Prof. Dr. Shahinur Rahman,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Associate Professor. MBBS, DDV. Specialist In Dermatology.","Lab Zone (Pvt.) Ltd., Main Branch","A-30/8, Mazidpur, Aricha Road, Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Prof. Dr. Md. Shahidullah Sikder,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Chairmen, Dept. of Dermatology, BSMMU (Pro-vice Chancellor). MBBS, DCM, MD (Derma), FICMCH (India) DV, DD (Thai), FRCP (GLASGOW). Specialist in Dermatology (Skin & VD).","Lab Science Diagnostics Ltd., Main Branch","153/1, Green Road, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 1000 TK.
Dr. Robert Ahmed Khan,"Neurosurgery (Surgery of Brain, Spinal Cord and Nerve)","Consultant, Dept. of Neurosurgery, Bangabandhu Sheikh Mujib Medical University. MBBS, MRCS, MS- Neurosurgery. Neurosurgery Specialist.",Comfort Diagnostic Centre & Comfort Nursing Home,"Green Road, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Prof. Dr. Abul Hossain Khan Chowdhury,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Professor & Ex.Director, Dept. of Cardiology, National Institute of Cardiovascular Diseases. MBBS (DMC), FCPS (Medicine), FACC (USA), MD (Card). Specialist in Interventional Cardiology & Medicine. Trained in Australia & USA.","Impulse Hospital, Main Br.","304/E, Tejgaon, Dhaka",N/A,"Thu, Fri, Sat",New: 1000 TK. Returning: 700 TK.
Asst. Prof. Dr. Mosharof Hossen Shamim,"Thoracic Surgery (Surgery in Chest, Lung, etc.)","Assistant Professor, Dept. of Thoracic Surgery, National Institute of Diseases of the Chest and Hospital. MBBS, MS (Thoracic Surgery). Specialist in Thoracic Surgery. BCS.","Pan Pacific Hospital Training & Research Institute Ltd., Main Br.","24, Outer Circular Road, Motijheel, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Asst. Prof. Dr. Md. Mobarok Hossen,"Thoracic Surgery (Surgery in Chest, Lung, etc.)","Assistant Professor. Dept. of Thoracic Surgery, National Institute of Diseases of the Chest and Hospital. MBBS, MS (Thoracic Surgery). Chest, Lung Surgery Practitioner. 8 years experience. BCS in Health.","Marks Medical College & Hospital, Main Branch","A/3, Main Road, Section- 14, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 800 TK.
Asst. Prof. Dr. Md. Mobarok Hossen,"Thoracic Surgery (Surgery in Chest, Lung, etc.)","Assistant Professor. Dept. of Thoracic Surgery, National Institute of Diseases of the Chest and Hospital. MBBS, MS (Thoracic Surgery). Chest, Lung Surgery Practitioner. 8 years experience. BCS in Health.",Medicity Chest and General Hospital,"Islampur, Dhamrai, Manikganj",N/A,(Not Specified),New Patient: 600 TK.
Prof. Dr. Ashraf Ul Huq Kazal,Paediatric Surgery (Surgery for Children),"Professor & Head, Dept. of Paediatric Surgery, Dhaka Medical College & Hospital. MBBS, MS (Paediatric Surgery), FICS, PHD. Paediatric Urologist, Neonatologist and Laparoscopic Surgeon.",Green Life Hospital,"Room No#408, Green Road, Dhaka",N/A,"Thu, Fri, Sat",New: 1000 TK. Returning: 600 TK.
Dr. Samanta Lal Sen,"Plastic Surgery, Reconstruction or Cosmetic Surgery","Chief National Coordinator For Plastic Surgery and All Burn Projects, Bangladesh. MBBS (Dhaka), DSS (Viena, Austria). Eminent burn specialist and administrator. Founder of the Burn Unit of DMCH. 34 years of experience.",Dhaka Medical College and Hospital. Plastic Surgery and Burn Unit,"Room No- 405, Bakshi Bazar, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Prof. Dr. Kazi Sohel Iqbal,"General Surgery (Incision, Operation)","Professor, Dept. of Surgery, MH Samorita Hospital & Medical College. MBBS (DU), FCPS (Surgery), MCPS (Surgery), FICS (India). Specialist in Laparoscopic & all kind of General Surgery.","Rose Clinic & Diagnostic Center, Main Br.","Aricha Road (North side of Pakiza Mill), Savar, Dhaka",N/A,(Availability on request),(Not Specified)
Prof. Dr. Kazi Sohel Iqbal,"General Surgery (Incision, Operation)","Professor, Dept. of Surgery, MH Samorita Hospital & Medical College. MBBS (DU), FCPS (Surgery), MCPS (Surgery), FICS (India). Specialist in Laparoscopic & all kind of General Surgery.","Sima General Hospital & Diagnostic Center, Main Branch","B-22/22, Anandapur, Genda, Savar, Dhaka",N/A,(Not Specified),(Not Specified)
Prof. Dr. Kazi Sohel Iqbal,"General Surgery (Incision, Operation)","Professor, Dept. of Surgery, MH Samorita Hospital & Medical College. MBBS (DU), FCPS (Surgery), MCPS (Surgery), FICS (India). Specialist in Laparoscopic & all kind of General Surgery.","Savar Central Hospital Ltd., Main Branch","D-24/1, Talbag, Savar, Dhaka",N/A,(Not Specified),(Not Specified)
Prof. Dr. Kazi Sohel Iqbal,"General Surgery (Incision, Operation)","Professor, Dept. of Surgery, MH Samorita Hospital & Medical College. MBBS (DU), FCPS (Surgery), MCPS (Surgery), FICS (India). Specialist in Laparoscopic & all kind of General Surgery.","Lab Zone (Pvt.) Ltd., Main Branch","A-30/8, Mazidpur, Aricha Road, Savar, Dhaka",N/A,(Not Specified),(Not Specified)
